package,version
libcinnamon-menu-3-0,6.6.0+zena
libcjs0,115.1+zena
libcjson1,1.7.17-1
libclone-perl,0.46-1build3
libclucene-contribs1t64,2.3.3.4+dfsg-1.2ubuntu2
libclucene-core1t64,2.3.3.4+dfsg-1.2ubuntu2
libclutter-1.0-0,1.26.4+git2779b932+dfsg-7build3
libclutter-1.0-common,1.26.4+git2779b932+dfsg-7build3
libclutter-gst-3.0-0,3.0.27-4build1
libclutter-gtk-1.0-0,1.8.4-4build5
libcodec2-1.2,1.2.0-2build1
libcogl20,1.22.8-4ubuntu4
libcogl-common,1.22.8-4ubuntu4
libcogl-pango20,1.22.8-4ubuntu4
libcogl-path20,1.22.8-4ubuntu4
libcolamd3,1:7.6.1+dfsg-1build1
libcolord2,1.4.7-1build2
libcolord2,1.4.7-1build2
libcolorhug2,1.4.7-1build2
libcom-err2,1.47.0-2.4~exp1ubuntu4.1
libcom-err2,1.47.0-2.4~exp1ubuntu4.1
libcpdb2t64,2.0~b5-1.2build1
libcrack2,2.9.6-5.1build2
libcrypt1,1:4.4.36-4build1
libcrypt1,1:4.4.36-4build1
libcrypt-dev,1:4.4.36-4build1
libcryptsetup12,2:2.7.0-1ubuntu4.2
libctf0,2.42-4ubuntu2.10
libctf-nobfd0,2.42-4ubuntu2.10
libcups2t64,2.4.7-1.2ubuntu7.14
libcups2t64,2.4.7-1.2ubuntu7.14
libcupsfilters2-common,2.0.0-0ubuntu7.2
libcupsfilters2t64,2.0.0-0ubuntu7.2
libcupsimage2t64,2.4.7-1.2ubuntu7.14
libcurl3t64-gnutls,8.5.0-2ubuntu10.11
libcurl3t64-gnutls,8.5.0-2ubuntu10.11
libcurl4t64,8.5.0-2ubuntu10.11
libcurl4t64,8.5.0-2ubuntu10.11
libcvc0,6.7.2
libcwidget4,0.5.18-6build1
libdaemon0,0.14-7.1ubuntu4
libdata-dump-perl,1.25-1
libdatrie1,0.2.13-3build1
libdatrie1,0.2.13-3build1
libdav1d7,1.4.1-1build1
libdazzle-1.0-0,3.44.0-1build3
libdazzle-common,3.44.0-1build3
libdb5.3t64,5.3.28+dfsg2-7
libdb5.3t64,5.3.28+dfsg2-7
libdbus-1-3,1.14.10-4ubuntu4.1
libdbus-1-3,1.14.10-4ubuntu4.1
libdbus-glib-1-2,0.112-3build2
libdbusmenu-glib4,18.10.20180917~bzr492+repack1-3.1ubuntu5
libdbusmenu-gtk3-4,18.10.20180917~bzr492+repack1-3.1ubuntu5
libdc1394-25,2.2.6-4build1
libdconf1,0.40.0-4ubuntu0.1
libde265-0,1.0.15-1build3
libde265-0,1.0.15-1build3
libdebconfclient0,0.271ubuntu3
libdebuginfod1t64,0.190-1.1ubuntu0.1
libdebuginfod-common,0.190-1.1ubuntu0.1
libdecor-0-0,0.2.2-1build2
libdecor-0-0,0.2.2-1build2
libdecor-0-dev,0.2.2-1build2
libdee-1.0-4,1.2.7+17.10.20170616-7build5
libdeflate0,1.19-1build1.1
libdeflate0,1.19-1build1.1
libdevmapper1.02.1,2:1.02.185-3ubuntu3.2
libdevmapper-event1.02.1,2:1.02.185-3ubuntu3.2
libdjvulibre21,3.5.28-2ubuntu0.24.04.2
libdjvulibre-text,3.5.28-2ubuntu0.24.04.2
libdmapsharing-4.0-3t64,3.9.13-2build1
libdmraid1.0.0.rc16,1.0.0.rc16-12ubuntu2
libdotconf0,1.3-0.3fakesync1build3
libdouble-conversion3,3.3.0-1build1
libdpkg-perl,1.22.6ubuntu6.6
libdrm2,2.4.125-1ubuntu0.1~24.04.2
libdrm2,2.4.125-1ubuntu0.1~24.04.2
libdrm-amdgpu1,2.4.125-1ubuntu0.1~24.04.2
libdrm-amdgpu1,2.4.125-1ubuntu0.1~24.04.2
libdrm-common,2.4.125-1ubuntu0.1~24.04.2
libdrm-dev,2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1,2.4.125-1ubuntu0.1~24.04.2
libdrm-intel1,2.4.125-1ubuntu0.1~24.04.2
libdrm-radeon1,2.4.125-1ubuntu0.1~24.04.2
libduktape207,2.7.0+tests-0ubuntu3
libduktape207,2.7.0+tests-0ubuntu3
libdv4t64,1.0.0-17.1build1
libdv4t64,1.0.0-17.1build1
libdvdnav4,6.1.1-3build1
libdvdread8t64,6.1.3-1.1build1
libdw1t64,0.190-1.1ubuntu0.1
libdw1t64,0.190-1.1ubuntu0.1
libdw-dev,0.190-1.1ubuntu0.1
libebackend-1.2-11t64,3.52.3-0ubuntu1.2
libe-book-0.1-1,0.1.3-2build6
libebook-1.2-21t64,3.52.3-0ubuntu1.2
libebook-contacts-1.2-4t64,3.52.3-0ubuntu1.2
libecal-2.0-3,3.52.3-0ubuntu1.2
libecryptfs1,111-6ubuntu3
libedata-book-1.2-27t64,3.52.3-0ubuntu1.2
libedata-cal-2.0-2t64,3.52.3-0ubuntu1.2
libedataserver-1.2-27t64,3.52.3-0ubuntu1.2
libedataserverui-1.2-4t64,3.52.3-0ubuntu1.2
libedit2,3.1-20230828-1build1
libedit2,3.1-20230828-1build1
libefiboot1t64,38-3.1build1
libefivar1t64,38-3.1build1
libegl1,1.7.0-1build1
libegl1,1.7.0-1build1
libegl1-mesa-dev,26.1.4~kisak1~n
libegl-dev,1.7.0-1build1
libegl-mesa0,26.1.4~kisak1~n
libegl-mesa0,26.1.4~kisak1~n
libeigen3-dev,3.4.0-4build0.1
libelf1t64,0.190-1.1ubuntu0.1
libelf1t64,0.190-1.1ubuntu0.1
libenchant-2-2,2.3.3-2build2
libencode-locale-perl,1.05-3
libeot0,0.01-5build3
libepoxy0,1.5.10-1build1
libepoxy0,1.5.10-1build1
libept1.6.0t64,1.2.1+nmu1build1
libepubgen-0.1-1,0.1.1-1ubuntu6
libespeak-ng1,1.51+dfsg-12build1
libestr0,0.1.11-1build1
libetonyek-0.1-1,0.1.10-5build1
libevdev2,1.13.1+dfsg-1build1
libevent-2.1-7t64,2.1.12-stable-9ubuntu2
libexempi8,2.6.5-1build1
libexif12,0.6.24-1ubuntu0.24.04.1
libexif12,0.6.24-1ubuntu0.24.04.1
libexiv2-27,0.27.6-1ubuntu0.3
libexpat1,2.6.1-2ubuntu0.4
libexpat1,2.6.1-2ubuntu0.4
libext2fs2t64,1.47.0-2.4~exp1ubuntu4.1
libexttextcat-2.0-0,3.4.7-1build1
libexttextcat-data,3.4.7-1build1
libextutils-depends-perl,0.8001-2
libfakeroot,1.33-1
libfastjson4,1.2304.0-1build1
libfcgi0t64,2.4.2-2.1ubuntu0.24.04.1
libfcgi-perl,0.82+ds-3build2
libfdisk1,2.39.3-9ubuntu6.5
libffi8,3.4.6-1build1
libffi8,3.4.6-1build1
libffi-dev,3.4.6-1build1
libffmpegthumbnailer4v5,2.2.2+git20240104+dfsg-1build1
libfftw3-double3,3.3.10-1ubuntu3
libfftw3-single3,3.3.10-1ubuntu3
libfido2-1,1.14.0-1build3
libfile-basedir-perl,0.09-2
libfile-desktopentry-perl,0.22-3
libfile-fcntllock-perl,0.22-4ubuntu5
libfile-listing-perl,6.16-1
libfile-mimeinfo-perl,0.34-1
libflac12t64,1.4.3+ds-2.1ubuntu2
libflac12t64,1.4.3+ds-2.1ubuntu2
libflashrom1,1.3.0-2.1ubuntu2
libflatpak0,1.14.6-1ubuntu0.1
libflite1,2.2-6build3
libfont-afm-perl,1.20-4
libfontconfig1,2.15.0-1.1ubuntu2
libfontconfig1,2.15.0-1.1ubuntu2
libfontconfig1-dev,2.15.0-1.1ubuntu2
libfontconfig-dev,2.15.0-1.1ubuntu2
libfontenc1,1:1.1.8-1build1
libfprint-2-2,1:1.94.7+tod1-0ubuntu5~24.04.7
libfprint-2-tod1,1:1.94.7+tod1-0ubuntu5~24.04.7
libfreeaptx0,0.1.1-2build1
libfreehand-0.1-1,0.1.2-3build3
libfreetype6,2.13.2+dfsg-1ubuntu0.1
libfreetype6,2.13.2+dfsg-1ubuntu0.1
libfribidi0,1.0.13-3build1
libfribidi0,1.0.13-3build1
libfribidi-dev,1.0.13-3build1
libftdi1-2,1.5-6build5
libfuse2t64,2.9.9-8.1build1
libfuse3-3,3.14.0-5build1
libfwupd2,1.9.34-0ubuntu1~24.04.1
libfwupd3,2.0.20-1ubuntu2~24.04.2
libgail18t64,2.24.33-4ubuntu1.1
libgail-3-0t64,3.24.41-4ubuntu1.3
libgail-common,2.24.33-4ubuntu1.1
libgamemode0,1.8.1-2build1
libgamemodeauto0,1.8.1-2build1
libgbm1,26.1.4~kisak1~n
libgbm1,26.1.4~kisak1~n
libgbm-dev,26.1.4~kisak1~n
libgcc-13-dev,13.3.0-6ubuntu2~24.04.1
libgcc-s1,16-20260315-1ubuntu1~24~ppa1
libgcc-s1,16-20260315-1ubuntu1~24~ppa1
libgck-1-0,3.41.2-1build3
libgck-2-2,4.2.0-5
libgcr-4-4,4.2.0-5
libgcr-base-3-1,3.41.2-1build3
libgcr-ui-3-1,3.41.2-1build3
libgcrypt20,1.10.3-2ubuntu0.1
libgcrypt20,1.10.3-2ubuntu0.1
libgcrypt20-dev,1.10.3-2ubuntu0.1
libgd3,2.3.3-9ubuntu5
libgd3,2.3.3-9ubuntu5
libgdata22,0.18.1-6build2
libgdata-common,0.18.1-6build2
libgdbm6t64,1.23-5.1build1
libgdbm-compat4t64,1.23-5.1build1
libgdk-pixbuf-2.0-0,2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf-2.0-0,2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-bin,2.42.10+dfsg-3ubuntu3.3
libgdk-pixbuf2.0-common,2.42.10+dfsg-3ubuntu3.3
libgee-0.8-2,0.20.6-1build2
libgeocode-glib-2-0,3.26.3-6build3
libgexiv2-2,0.14.2-2build3
libgfortran5,16-20260315-1ubuntu1~24~ppa1
libgif7,5.2.2-1ubuntu1
libgirepository-1.0-1,1.80.1-1
libgirepository1.0-dev,1.80.1-1
libgl1,1.7.0-1build1
libgl1,1.7.0-1build1
libgl1-mesa-dev,26.1.4~kisak1~n
libgl1-mesa-dri,26.1.4~kisak1~n
libgl1-mesa-dri,26.1.4~kisak1~n
libgles2,1.7.0-1build1
libgles2-mesa-dev,26.1.4~kisak1~n
libglfw3-dev,3.3.10-1build1
libglfw3-wayland,3.3.10-1build1
libglib2.0-0t64,2.80.0-6ubuntu3.8
libglib2.0-0t64,2.80.0-6ubuntu3.8
libglib2.0-bin,2.80.0-6ubuntu3.8
libglib2.0-data,2.80.0-6ubuntu3.8
libglib2.0-dev,2.80.0-6ubuntu3.8
libglibmm-2.4-1t64,2.66.7-1build1
libglibmm-2.68-1t64,2.78.1-2.2build2
libglib-object-introspection-perl,0.051-1build3
libglib-perl,3:1.329.3-3build3
libglm-dev,0.9.9.8+ds-7
libglu1-mesa,9.0.2-1.1build1
libglvnd0,1.7.0-1build1
libglvnd0,1.7.0-1build1
libglx0,1.7.0-1build1
libglx0,1.7.0-1build1
libglx-mesa0,26.1.4~kisak1~n
libglx-mesa0,26.1.4~kisak1~n
libgme0,0.6.3-7build1
libgmp10,2:6.3.0+dfsg-2ubuntu6.1
libgmp10,2:6.3.0+dfsg-2ubuntu6.1
libgmp-dev,2:6.3.0+dfsg-2ubuntu6.1
libgnome-desktop-3-20t64,44.0-5build2
libgnomekbd8,3.28.1-1build3
libgnomekbd-common,3.28.1-1build3
libgnutls30t64,3.8.3-1.1ubuntu3.6
libgnutls30t64,3.8.3-1.1ubuntu3.6
libgoa-1.0-0b,3.50.4-0ubuntu2
libgoa-1.0-common,3.50.4-0ubuntu2
libgoa-backend-1.0-2,3.50.4-0ubuntu2
libgomp1,16-20260315-1ubuntu1~24~ppa1
libgpg-error0,1.47-3build2.1
libgpg-error0,1.47-3build2.1
libgpgme11t64,1.18.0-4.1ubuntu4
libgpgmepp6t64,1.18.0-4.1ubuntu4
libgphoto2-6t64,2.5.31-2.1ubuntu1
libgphoto2-6t64,2.5.31-2.1ubuntu1
libgphoto2-l10n,2.5.31-2.1ubuntu1
libgphoto2-port12t64,2.5.31-2.1ubuntu1
libgphoto2-port12t64,2.5.31-2.1ubuntu1
libgpm2,1.20.7-11
libgpm2,1.20.7-11
libgpod4t64,0.8.3-19.1ubuntu4
libgpod-common,0.8.3-19.1ubuntu4
libgprofng0,2.42-4ubuntu2.10
libgraphene-1.0-0,1.10.8-3build2
libgraphene-1.0-dev,1.10.8-3build2
libgraphite2-3,1.3.14-2ubuntu0.24.04.1
libgraphite2-3,1.3.14-2ubuntu0.24.04.1
libgrilo-0.3-0,0.3.16-1build3
libgs10,10.02.1~dfsg1-0ubuntu7.8
libgs10-common,10.02.1~dfsg1-0ubuntu7.8
libgs-common,10.02.1~dfsg1-0ubuntu7.8
libgsf-1-114,1.14.51-2ubuntu0.1
libgsf-1-common,1.14.51-2ubuntu0.1
libgsf-bin,1.14.51-2ubuntu0.1
libgsm1,1.0.22-1build1
libgsound0t64,1.0.3-3.2build2
libgspell-1-2,1.12.2-1build4
libgspell-1-common,1.12.2-1build4
libgssapi-krb5-2,1.20.1-6ubuntu2.6
libgssapi-krb5-2,1.20.1-6ubuntu2.6
libgstreamer1.0-0,1.24.2-1ubuntu0.1
libgstreamer1.0-0,1.24.2-1ubuntu0.1
libgstreamer-gl1.0-0,1.24.2-1ubuntu0.4
libgstreamer-plugins-base1.0-0,1.24.2-1ubuntu0.4
libgstreamer-plugins-base1.0-0,1.24.2-1ubuntu0.4
libgstreamer-plugins-good1.0-0,1.24.2-1ubuntu1.4
libgstreamer-plugins-good1.0-0,1.24.2-1ubuntu1.4
libgtk2.0-0t64,2.24.33-4ubuntu1.1
libgtk2.0-bin,2.24.33-4ubuntu1.1
libgtk2.0-common,2.24.33-4ubuntu1.1
libgtk-3-0t64,3.24.41-4ubuntu1.3
libgtk-3-0t64,3.24.41-4ubuntu1.3
libgtk-3-bin,3.24.41-4ubuntu1.3
libgtk-3-common,3.24.41-4ubuntu1.3
libgtk-3-dev,3.24.41-4ubuntu1.3
libgtk3-perl,0.038-3
libgtk-4-1,4.14.5+ds-0ubuntu0.10
libgtk-4-common,4.14.5+ds-0ubuntu0.10
libgtk-layer-shell0,0.9.0-1ppa1
libgtkmm-3.0-1t64,3.24.9-1
libgtkmm-4.0-0,4.10.0-4build3
libgtksourceview-3.0-1,3.24.11-2build4
libgtksourceview-3.0-common,3.24.11-2build4
libgtksourceview-4-0,4.8.4-5build4
libgtksourceview-4-common,4.8.4-5build4
libgtop-2.0-11,2.41.3-1ubuntu0.24.04.1
libgtop2-common,2.41.3-1ubuntu0.24.04.1
libgucharmap-2-90-7,1:15.1.3-1build1
libgudev-1.0-0,1:238-5ubuntu1
libgudev-1.0-0,1:238-5ubuntu1
libgudev-1.0-dev,1:238-5ubuntu1
libgusb2,0.4.8-1build2
libgutenprint9,5.3.4.20220624T01008808d602-1build4
libgutenprint-common,5.3.4.20220624T01008808d602-1build4
libgweather-4-0t64,4.4.2-1build1
libgweather-4-common,4.4.2-1build1
libgxps2t64,0.3.2-4build3
libhandy-1-0,1.8.3-1build2
libharfbuzz0b,8.3.0-2build2
libharfbuzz0b,8.3.0-2build2
libharfbuzz-gobject0,8.3.0-2build2
libharfbuzz-icu0,8.3.0-2build2
libheif1,1.17.6-1ubuntu4.6
libheif1,1.17.6-1ubuntu4.6
libheif-plugin-aomdec,1.17.6-1ubuntu4.6
libheif-plugin-aomdec,1.17.6-1ubuntu4.6
libheif-plugin-libde265,1.17.6-1ubuntu4.6
libheif-plugin-libde265,1.17.6-1ubuntu4.6
libhogweed6t64,3.9.1-2.2build1.1
libhogweed6t64,3.9.1-2.2build1.1
libhpmud0,3.23.12+dfsg0-0ubuntu5.1
libhtml-format-perl,2.16-2
libhtml-form-perl,6.11-1
libhtml-parser-perl,3.81-1build3
libhtml-tagset-perl,3.20-6
libhtml-tree-perl,5.07-3
libhttp-cookies-perl,6.11-1
libhttp-daemon-perl,6.16-1ubuntu0.24.04.1
libhttp-date-perl,6.06-1
libhttp-message-perl,6.45-1ubuntu1
libhttp-negotiate-perl,6.01-2
libhunspell-1.7-0,1.7.2+really1.7.2-10build3
libhwasan0,16-20260315-1ubuntu1~24~ppa1
libhwy1t64,1.0.7-8.1build1
libhyphen0,2.8.8-7build3
libhyprutils11,0.12.0-1ppa1
libhyprwire3,0.3.1-1ppa3
libibus-1.0-5,1.5.29-2
libibus-1.0-dev,1.5.29-2
libibverbs1,50.0-2ubuntu0.2
libical3t64,3.0.17-1.1build3
libice6,2:1.0.10-1build3
libice-dev,2:1.0.10-1build3
libicu74,74.2-1ubuntu3.1
libicu74,74.2-1ubuntu3.1
libidn12,1.42-1ubuntu0.1
libidn2-0,2.3.7-2build1.1
libidn2-0,2.3.7-2build1.1
libiec61883-0,1.2.0-6build1
libiec61883-0,1.2.0-6build1
libieee1284-3t64,0.2.11-14.1build1
libigc2,2.36.3-2~24.04
libigdgmm12,22.10.0-1~24.04~ppa1
libigdgmm12,22.10.0-1~24.04~ppa1
libigdgmm-dev,22.10.0-1~24.04~ppa1
libigsc1,1.2.0-1~24.04~ppa1
libijs-0.35,0.35-15.1build1
libimagequant0,2.18.0-1build1
libimath-3-1-29t64,3.1.9-3.1ubuntu2
libimobiledevice6,1.3.0-8.1build3
libimobiledevice-utils,1.3.0-8.1build3
libinih1,55-1ubuntu2
libinih-dev,55-1ubuntu2
libinput10,1.31.1-1
libinput-bin,1.31.1-1
libinput-dev,1.31.1-1
libio-html-perl,1.004-3
libio-socket-ssl-perl,2.085-1
libip4tc2,1.8.10-3ubuntu2
libip6tc2,1.8.10-3ubuntu2
libipc-system-simple-perl,1.30-2
libipt2,2.0.6-1build1
libisl23,0.26-3build1.1
libisofs6t64,1.5.6.pl01-1.1ubuntu2
libitm1,16-20260315-1ubuntu1~24~ppa1
libiw30t64,30~pre9-16.1ubuntu2
libjansson4,2.14-2build2
libjavascriptcoregtk-4.1-0,2.52.3-0ubuntu0.24.04.1
libjbig0,2.1-6.1ubuntu2
libjbig0,2.1-6.1ubuntu2
libjbig2dec0,0.20-1build3
libjcat1,0.2.3-1~ubuntu0.24.04.1
libjpeg8,8c-2ubuntu11
libjpeg8,8c-2ubuntu11
libjpeg-turbo8,2.1.5-2ubuntu2
libjpeg-turbo8,2.1.5-2ubuntu2
libjs-mathjax,2.7.9+dfsg-1
libjson-c5,0.17-1build1
libjson-glib-1.0-0,1.8.0-2build2
libjson-glib-1.0-common,1.8.0-2build2
libjson-glib-dev,1.8.0-2build2
libjxl0.7,0.7.0-10.2ubuntu6.1
libjxl-tools,0.7.0-10.2ubuntu6.1
libk5crypto3,1.20.1-6ubuntu2.6
libk5crypto3,1.20.1-6ubuntu2.6
libkeybinder-3.0-0,0.3.2-1.1build2
libkeyutils1,1.6.3-3build1
libkeyutils1,1.6.3-3build1
libklibc,2.0.13-4ubuntu0.2
libkmod2,31+20240202-2ubuntu7.2
libkmod-dev,31+20240202-2ubuntu7.2
libkpathsea6,2023.20230311.66589-9build3
libkrb5-3,1.20.1-6ubuntu2.6
libkrb5-3,1.20.1-6ubuntu2.6
libkrb5-dev,1.20.1-6ubuntu2.6
libkrb5support0,1.20.1-6ubuntu2.6
libkrb5support0,1.20.1-6ubuntu2.6
libksba8,1.6.6-1build1
liblangtag1,0.6.7-1build2
liblangtag-common,0.6.7-1build2
liblapack3,3.12.0-3build1.1
liblc3-1,1.0.4-3build1
liblcms2-2,2.14-2ubuntu0.1
liblcms2-2,2.14-2ubuntu0.1
liblcms2-utils,2.14-2ubuntu0.1
libldacbt-abr2,2.0.2.3+git20200429+ed310a0-4ubuntu2
libldacbt-enc2,2.0.2.3+git20200429+ed310a0-4ubuntu2
libldap2,2.6.10+dfsg-0ubuntu0.24.04.1
libldap2,2.6.10+dfsg-0ubuntu0.24.04.1
libldb2,2:2.8.0+samba4.19.5+dfsg-4ubuntu9.6
liblerc4,4.0.0+ds-4ubuntu2
liblightdm-gobject-1-0,1.30.0-0ubuntu14
liblilv-0-0,0.24.22-1build1
liblirc-client0t64,0.10.2-0.8build1
libllvm17t64,1:17.0.6-9ubuntu1
libllvm19,1:19.1.7-1ubuntu2~kisak~n
libllvm20,1:20.1.8-0ubuntu1~kisak~n
libllvm20,1:20.1.8-0ubuntu1~kisak~n
liblmdb0,0.9.31-1build1
liblocale-gettext-perl,1.07-6ubuntu5
liblocale-msgfmt-perl,0.15-2
liblouis20,3.29.0-1build1
liblouis-data,3.29.0-1build1
liblouisutdml9t64,2.12.0-3.1build1
liblouisutdml-bin,2.12.0-3.1build1
liblouisutdml-data,2.12.0-3.1build1
liblsan0,16-20260315-1ubuntu1~24~ppa1
libltdl7,2.4.7-7build1
libltdl7,2.4.7-7build1
liblua5.2-0,5.2.4-3build2
liblua5.4-0,5.4.6-3build2
liblvm2cmd2.03,2.03.16-3ubuntu3.2
liblwp-mediatypes-perl,6.04-2
liblwp-protocol-https-perl,6.13-1
liblz4-1,1.9.4-1build1.1
liblz4-1,1.9.4-1build1.1
liblz4-dev,1.9.4-1build1.1
liblzma5,5.6.1+really5.4.5-1ubuntu0.3
liblzma5,5.6.1+really5.4.5-1ubuntu0.3
liblzo2-2,2.10-2build4
libmagic1t64,1:5.45-3build1
libmagic-dev,1:5.45-3build1
libmagic-mgc,1:5.45-3build1
libmalcontent-0-0,0.11.1-1ubuntu1.3
libmanette-0.2-0,0.2.7-1build2
libmateweather1t64,1.26.3-3.1build2
libmateweather-common,1.26.3-3.1build2
libmaxminddb0,1.9.1-1build1
libmbedcrypto7t64,2.28.8-1
libmbim-glib4,1.31.2-0ubuntu3.1
libmbim-proxy,1.31.2-0ubuntu3.1
libmd0,1.1.0-2build1.1
libmd0,1.1.0-2build1.1
libmd4c0,0.4.8-1build1
libmetee6,6.2.1-1~24.04~ppa1
libmfx-gen1,25.4.0-0ubuntu1~24.04~ppa1
libmgba,0.10.5
libmhash2,0.9.9.9-9build3
libminiupnpc17,2.2.6-1build2
libmm-glib0,1.23.4-0ubuntu2
libmnl0,1.0.5-2build1
libmount1,2.39.3-9ubuntu6.5
libmount1,2.39.3-9ubuntu6.5
libmozjs-115-0t64,115.10.0-1
libmp3lame0,3.100-6build1
libmp3lame0,3.100-6build1
libmpc3,1.3.1-1build1.1
libmpc-dev,1.3.1-1build1.1
libmpdclient-dev,2.22-1.1build1
libmpfr6,4.2.1-1build1.1
libmpfr-dev,4.2.1-1build1.1
libmpg123-0t64,1.32.5-1ubuntu1.1
libmpg123-0t64,1.32.5-1ubuntu1.1
libmpv2,0.37.0-1ubuntu4
libmsgraph-0-1,0.2.1-0ubuntu3
libmspub-0.1-1,0.1.4-3build7
libmtdev1t64,1.1.6-1.1build1
libmtp9t64,1.1.21-3.1ubuntu1
libmtp-common,1.1.21-3.1ubuntu1
libmtp-runtime,1.1.21-3.1ubuntu1
libmuffin0,6.7.4
libmujs3,1.3.3-3build2
libmusicbrainz5-2,5.1.0+git20150707-10build2
libmusicbrainz5cc2v5,5.1.0+git20150707-10build2
libmwaw-0.3-3,0.3.22-1build1
libmysofa1,1.3.2+dfsg-2ubuntu2
libmythes-1.2-0,2:1.2.5-1build1
libnatpmp1t64,20230423-1.2build1
libnautilus-extension4,1:46.4-0ubuntu0.2
libncurses6,6.4+20240113-1ubuntu2.1
libncurses6,6.4+20240113-1ubuntu2.1
libncursesw6,6.4+20240113-1ubuntu2.1
libncursesw6,6.4+20240113-1ubuntu2.1
libndp0,1.8-1fakesync1ubuntu0.24.04.1
libnemo-extension1,6.6.3+zena
libneon27t64-gnutls,0.33.0-1.1build3
libnet-dbus-perl,1.2.0-2build3
libnetfilter-conntrack3,1.0.9-6build1
libnet-http-perl,6.23-1
libnet-libidn-perl,0.12.ds-4build4
libnetplan1,1.1.2-8ubuntu1~24.04.2
libnet-ssleay-perl,1.94-1build4
libnettle8t64,3.9.1-2.2build1.1
libnettle8t64,3.9.1-2.2build1.1
libnewt0.52,0.52.24-2ubuntu2
libnfnetlink0,1.0.2-2build1
libnfs14,5.0.2-1ubuntu0.24.04.1
libnftables1,1.0.9-1ubuntu0.1
libnftnl11,1.2.6-2build1
libnghttp2-14,1.59.0-1ubuntu0.4
libnghttp2-14,1.59.0-1ubuntu0.4
libnl-3-200,3.7.0-0.3build1.1
libnl-3-dev,3.7.0-0.3build1.1
libnl-genl-3-200,3.7.0-0.3build1.1
libnl-route-3-200,3.7.0-0.3build1.1
libnm0,1.46.0-1ubuntu2.7
libnm0,1.46.0-1ubuntu2.7
libnma0,1.10.6+mint1+wilma
libnma-common,1.10.6+mint1+wilma
libnma-gtk4-0,1.10.6+mint1+wilma
libnorm1t64,1.5.9+dfsg-3.1build1
libnotify4,0.8.3-1build2
libnotify-bin,0.8.3-1build2
libnpth0t64,1.6-3.1build1
libnspr4,2:4.35-1.1build1
libnss3,2:3.98-1ubuntu0.2
libnss-mdns,0.15.1-4build1
libnss-myhostname,255.4-1ubuntu8.16
libnss-systemd,255.4-1ubuntu8.16
libntfs-3g89t64,1:2022.10.3-1.2ubuntu3.2
libnuma1,2.0.18-1ubuntu0.24.04.1
libnvme1t64,1.8-3ubuntu1
libnvpair3linux,2.2.2-0ubuntu9.4
libodfgen-0.1-1,0.1.8-2build3
libogg0,1.3.5-3build1
libogg0,1.3.5-3build1
libopenal1,1:1.23.1-4build1
libopenal-data,1:1.23.1-4build1
libopenexr-3-1-30,3.1.5-5.1build3
libopengl0,1.7.0-1build1
libopenjp2-7,2.5.0-2ubuntu0.5
libopenmpt0t64,0.7.3-1.1build3
libopus0,1.4-1build1
libopus0,1.4-1build1
liborc-0.4-0t64,1:0.4.38-1ubuntu0.1
liborc-0.4-0t64,1:0.4.38-1ubuntu0.1
liborcus-0.18-0,0.19.2-3build3
liborcus-parser-0.18-0,0.19.2-3build3
libostree-1-1,2024.5-1build2
libp11-kit0,0.25.3-4ubuntu2.1
libp11-kit0,0.25.3-4ubuntu2.1
libpackagekit-glib2-18,1.2.8+mint3+wilma
libpagemaker-0.0-0,0.0.4-1build4
libpam0g,1.5.3-5ubuntu5.5
libpam0g-dev,1.5.3-5ubuntu5.5
libpam-cap,1:2.66-5ubuntu2.4
libpam-fingwit,1.0.8+zena
libpam-fprintd,1.94.3-1
libpam-gnome-keyring,46.1-2ubuntu0.2
libpam-modules,1.5.3-5ubuntu5.5
libpam-modules-bin,1.5.3-5ubuntu5.5
libpam-runtime,1.5.3-5ubuntu5.5
libpam-systemd,255.4-1ubuntu8.16
libpango-1.0-0,1.52.1+ds-1build1
libpango-1.0-0,1.52.1+ds-1build1
libpango1.0-dev,1.52.1+ds-1build1
libpangocairo-1.0-0,1.52.1+ds-1build1
libpangocairo-1.0-0,1.52.1+ds-1build1
libpangoft2-1.0-0,1.52.1+ds-1build1
libpangoft2-1.0-0,1.52.1+ds-1build1
libpangomm-1.4-1v5,2.46.4-1build3
libpangomm-2.48-1t64,2.52.0-1build1
libpangoxft-1.0-0,1.52.1+ds-1build1
libpaper1,1.1.29build1
libpaper-utils,1.1.29build1
libparted2t64,3.6-4build1
libpcap0.8t64,1.10.4-4.1ubuntu3
libpcap0.8t64,1.10.4-4.1ubuntu3
libpcaudio0,1.2-2build3
libpci3,1:3.10.0-2build1
libpciaccess0,0.17-3ubuntu0.24.04.2
libpciaccess0,0.17-3ubuntu0.24.04.2
libpciaccess-dev,0.17-3ubuntu0.24.04.2
libpcre2-16-0,10.42-4ubuntu2.1
libpcre2-32-0,10.42-4ubuntu2.1
libpcre2-8-0,10.42-4ubuntu2.1
libpcre2-8-0,10.42-4ubuntu2.1
libpcsclite1,2.0.3-1build1
libpcsclite1,2.0.3-1build1
libpeas-1.0-0,1.36.0-3build4
libpeas-common,1.36.0-3build4
libperl5.38t64,5.38.2-3.2ubuntu0.3
libperlio-gzip-perl,0.20-1build4
